Dép.;Code;Nom de la commune;Population totale au 01-01-2007;Taux communaux;;;;;Taux intercommunaux;;;;


;;;;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle;TEOM
72;72181;Le Mans;150605;9,7;11,76;18,09;9,19;;9,57;11,33;17,86;7;6,45
72;72264;Sablé-sur-Sarthe;13560;10,24;14,84;30,11;14,09;;2,41;3,82;6,72;3,34;8,49
73;73008;Aix-les-Bains;26110;13,82;25,04;42,08;20,12;;;;;18,94;8,82
73;73011;Albertville;18190;15,37;22,99;90,51;19,8;;;;;16,89;11,5
73;73065;Chambéry;57592;18,72;25,95;44,19;19,35;;;;;19,09;8,96
73;73179;La Motte-Servolex;11551;10,96;19,04;69,7;18,86;;;;;19,09;6,84
74;74010;Annecy;52100;15,72;16,75;19,55;19,83;;;;;19,17;7,3
74;74011;Annecy-le-Vieux;19596;8,94;15,03;31,27;18,78;;;;;19,17;7,3
74;74012;Annemasse;29082;9,12;9,97;20,67;11,04;;3,94;4,32;12,86;4,83;9,47
74;74012;Annemasse;0;0;0;0;0;0;0,368;0,403;0,836;0,694;
74;74042;Bonneville;11338;17,01;14,22;65,2;14,89;;;;;12,83;10,27
74;74056;Chamonix-Mont-Blanc;10109;13,54;14,22;26,62;21,57;8,75;;;;;
74;74056;Chamonix-Mont-Blanc;0;0;0;0;0;0;0,519;0,545;1,02;1,02;
74;74081;Cluses;18126;9,94;11,51;22;10,61;8,54;;;;;
74;74081;Cluses;0;0;0;0;0;0;2,49;2,88;5,51;3,74;
74;74093;Cran-Gevrier;17540;15,8;16,53;29,56;19,93;;;;;19,17;7,3
74;74133;Gaillard;10013;5,88;6,72;14,07;8,68;;3,94;4,32;12,86;4,83;9,47
74;74133;Gaillard;0;0;0;0;0;0;0,272;0,311;0,652;0,603;
74;74208;Passy;10478;13,46;17,87;54,62;19,99;10,1;;;;;
74;74224;La Roche-sur-Foron;10372;9,47;12,7;36,7;13,4;;2,64;3,44;14,12;4,02;
74;74225;Rumilly;13439;13,21;12,29;39,69;14,88;;1,24;1,21;4,22;1,64;10,29
74;74243;Saint-Julien-en-Genevois;10307;7,46;10,12;33,54;11,34;;1,52;1,99;7,68;2,45;8,5
74;74256;Sallanches;16190;12,46;12,89;53,66;14,35;9,08;;;;;
74;74256;Sallanches;0;0;0;0;0;0;0,714;0,738;3,07;1,16;
74;74268;Seynod;18890;11,56;12,66;38,91;19,22;;;;;19,17;7,3
74;74281;Thonon-les-Bains;32205;12,47;18,59;53,67;17,34;7,86;;;;;
74;74281;Thonon-les-Bains;0;0;0;0;0;0;0,672;1;2,89;1,37;
75;75056;Paris;2147857;8,8;7,11;13,5;12,35;5,75;;;;;
76;76057;Barentin;13125;13,81;22,75;39,09;12,59;;0,924;1,63;3,61;1,04;
76;76057;Barentin;0;0;0;0;0;0;2,74;4,51;7,75;3,83;
76;76108;Bois-Guillaume;12174;8,56;19,62;38,71;;;;;;16,05;6,76
76;76114;Bolbec;12801;12,06;23,2;42,82;17,19;;2,56;5,27;8,25;3,69;13,5
76;76114;Bolbec;0;0;0;0;0;0;0,00103;0,00198;0,00428;0,00178;
76;76157;Canteleu;15838;17,47;30,87;69,46;;;;;;16,05;5,91
76;76165;Caudebec-lès-Elbeuf;10001;18,47;35,56;74,04;14,27;;;;;13,98;
76;76216;Déville-lès-Rouen;10512;16,83;31,24;62,67;;;;;;16,05;4,83
76;76217;Dieppe;35694;17,6;38,9;44,69;15,53;6,73;;;;12,46;
76;76231;Elbeuf;16944;21,69;27,51;74,04;14,3;;;;;13,98;
76;76259;Fécamp;21479;21,59;39,78;42,86;17,79;;;;;17,33;
76;76305;Gonfreville-l'Orcher;10004;10,34;16,91;28,29;;;;;;15,69;4,6
76;76322;Le Grand-Quevilly;26893;14,69;23,29;45,42;;;;;;16,05;6,6
76;76351;Le Havre;193259;18,63;27,24;27,5;;;;;;15,69;14,36
76;76410;Maromme;12510;17,78;32,93;81,86;;;;;;16,05;9,27
76;76447;Montivilliers;16805;13,52;30,63;59,52;;;;;;15,69;4,6
76;76451;Mont-Saint-Aignan;21761;13,6;23,95;42,64;;;;;;16,05;7
76;76484;Oissel;11330;16,6;33,65;81,31;;;;;;16,05;5,81
76;76498;Le Petit-Quevilly;22601;18,42;35,63;68,56;;;;;;16,05;8,45
76;76540;Rouen;108758;19,99;21,01;25,08;;;;;;16,05;7,23
76;76575;Saint-Etienne-du-Rouvray;29561;21,09;26,11;44,43;;;;;;16,05;9,74
76;76681;Sotteville-lès-Rouen;30124;25,52;27,32;66,4;;;;;;16,05;8,95
76;76758;Yvetot;11038;12,83;20,66;61,08;12,22;;3,64;6,22;9,27;2,94;
76;76758;Yvetot;0;0;0;0;0;0;0,193;0,31;0,918;0,303;
77;77014;Avon;14362;14,41;24,1;45,65;;;;;;12,96;7,73
77;77053;Brie-Comte-Robert;13828;12,36;17,33;55,48;13,05;;1,35;1,86;6,76;1,3;7,35
77;77058;Bussy-Saint-Georges;17977;17,47;31,06;99,15;20,58;;;;;;
77;77058;Bussy-Saint-Georges;0;0;0;0;0;0;;;;;7,4
77;77083;Champs-sur-Marne;25712;17,95;27,17;92,75;;;;;;20,04;
77;77083;Champs-sur-Marne;0;0;0;0;0;0;;;;;11,39
77;77108;Chelles;45711;19,9;24,35;86,12;17,61;;;;;18,56;
77;77108;Chelles;0;0;0;0;0;0;;;;;8,87
77;77118;Claye-Souilly;10391;12,39;17,02;51,78;11,68;9;;;;;
77;77118;Claye-Souilly;0;0;0;0;0;0;0,104;0,142;0,432;0,153;
77;77122;Combs-la-Ville;22254;14,82;24,63;66,28;;;;;;18;
77;77122;Combs-la-Ville;0;0;0;0;0;0;;;;;10,47
77;77131;Coulommiers;14191;19,13;21,49;48,66;12,78;;1,37;1,86;3,55;1,08;17,36
77;77152;Dammarie-les-Lys;20816;17,23;28,44;85,88;16,7;;;;;15,21;10,25
77;77186;Fontainebleau;17811;13,77;22,08;101,87;;;;;;12,96;8,35
77;77243;Lagny-sur-Marne;19579;15,85;21,1;46,59;13,14;;;;;12,85;
77;77243;Lagny-sur-Marne;0;0;0;0;0;0;;;;;9
77;77251;Lieusaint;10280;17,31;27,18;60,71;;;;;;18;
77;77251;Lieusaint;0;0;0;0;0;0;;;;;7,42
77;77258;Lognes;15478;17,1;32,75;90,01;;;;;;20,04;
77;77258;Lognes;0;0;0;0;0;0;;;;;7,08
77;77284;Meaux;50913;17,5;23,57;67,25;16,36;;;;;14,69;12
77;77285;Le Mée-sur-Seine;21325;16;26,62;100,4;16,45;;;;;15,21;10,1
77;77288;Melun;36998;19,86;24,15;39,72;17,74;;;;;15,21;9,62
77;77294;Mitry-Mory;16947;17,7;22,63;91,14;15,04;7,66;;;;;
77;77294;Mitry-Mory;0;0;0;0;0;0;0,0376;0,048;0,193;0,0415;
77;77296;Moissy-Cramayel;17181;17,89;29,4;76,07;;;;;;18;
77;77296;Moissy-Cramayel;0;0;0;0;0;0;;;;;11,17
77;77305;Montereau-Fault-Yonne;17903;18,04;35,16;55,78;20,08;;1,02;2;4,08;3,04;18,8
77;77333;Nemours;13001;17,95;28,87;58,28;12,75;;;;;;
77;77333;Nemours;0;0;0;0;0;0;;;;;17,7
77;77337;Noisiel;15595;17,12;33,23;97,13;;;;;;20,04;
77;77337;Noisiel;0;0;0;0;0;0;;;;;11,05
77;77350;Ozoir-la-Ferrière;20817;17;24,88;94,28;14,92;;;;;;
77;77350;Ozoir-la-Ferrière;0;0;0;0;0;0;;;;;9,82
77;77373;Pontault-Combault;33019;24,65;26,01;75,41;16,94;9,51;;;;;
77;77373;Pontault-Combault;0;0;0;0;0;0;1,94;2,05;5,93;2,1;
77;77379;Provins;12091;17,62;24,74;50,88;13,96;;;;;12,58;11,85
77;77390;Roissy-en-Brie;19762;17,52;26,36;60,67;15,42;;;;;;
77;77390;Roissy-en-Brie;0;0;0;0;0;0;1,96;2,95;6,79;2,53;10,63
77;77407;Saint-Fargeau-Ponthierry;11356;17,86;22,38;79,16;17,08;;2,83;3,63;12,18;2,78;12,62
77;77445;Savigny-le-Temple;26935;22,94;42,46;101,48;;;;;;18;
77;77445;Savigny-le-Temple;0;0;0;0;0;0;;;;;8,73
77;77468;Torcy;22578;18,5;27,08;80,81;;;;;;20,04;
77;77468;Torcy;0;0;0;0;0;0;;;;;10,47
77;77479;Vaires-sur-Marne;11842;19,37;19,96;42,53;26,48;;;;;18,56;
77;77479;Vaires-sur-Marne;0;0;0;0;0;0;;;;;9,33
77;77487;Vaux-le-Pénil;10816;13,64;17,27;56,04;15,58;;;;;15,21;9,37
77;77514;Villeparisis;21493;15,39;25,12;68,07;15,88;13;;;;;
77;77514;Villeparisis;0;0;0;0;0;0;0,0308;0,0502;0,136;0,0501;
78;78005;Achères;19032;15,13;12,17;66,55;15,11;9,32;;;;;
78;78005;Achères;0;0;0;0;0;0;0,051;0,041;0,225;0,0791;
78;78015;Andrésy;12621;13,45;17,41;71,16;14,49;;;;;13,66;7,71
78;78015;Andrésy;0;0;0;0;0;0;0,0844;0,109;0,446;0;
78;78029;Aubergenville;11725;16,03;20,14;96,81;13,05;;;;;11,71;9,11
78;78073;Bois-d'Arcy;12130;15,69;13,54;53,46;18,79;;0,228;0,273;0,659;0,2;7,4
78;78123;Carrières-sous-Poissy;13545;14,93;21,19;63,63;13,43;;;;;13,66;9,64
78;78123;Carrières-sous-Poissy;0;0;0;0;0;0;0,0565;0,0802;0,241;0;
78;78124;Carrières-sur-Seine;14026;13,89;21,22;64,66;18,44;;;;;13,75;6,13
78;78124;Carrières-sur-Seine;0;0;0;0;0;0;0,673;1,03;3,13;0;
78;78126;La Celle-Saint-Cloud;21761;12,56;11,56;62,1;15,38;;0,04;0,04;0,178;0,046;5,38
78;78126;La Celle-Saint-Cloud;0;0;0;0;0;0;0,014;0,0129;0,0697;0,0313;
78;78146;Chatou;28889;12,9;10,21;28,01;10,79;;;;;13,75;4,8
78;78146;Chatou;0;0;0;0;0;0;0,487;0,385;1,06;0;
78;78158;Le Chesnay;28942;10,62;7,29;10,18;7,04;4,41;;;;;
78;78158;Le Chesnay;0;0;0;0;0;0;0,0475;0,0326;0,045;0,0571;
78;78165;Les Clayes-sous-Bois;17182;11,91;22,88;56,74;15,14;;;;;;
78;78172;Conflans-Sainte-Honorine;33948;17,17;15;35,49;16,84;8,93;;;;;
78;78172;Conflans-Sainte-Honorine;0;0;0;0;0;0;0,185;0,162;0,382;0,295;
78;78208;Elancourt;27557;12,62;17,31;93,48;;5,92;;;;18,4;
78;78242;Fontenay-le-Fleury;12676;14,61;15,99;51,68;15,5;;0,228;0,273;0,659;0,2;5,38
78;78242;Fontenay-le-Fleury;0;0;0;0;0;0;0,0601;0,0657;0,211;0,114;
78;78297;Guyancourt;26996;11,45;17,79;89,83;;6,32;;;;18,4;
78;78297;Guyancourt;0;0;0;0;0;0;0,0294;0,0457;0,23;0;
78;78311;Houilles;30163;14,3;19,34;114,61;16,91;;;;;13,75;7,4
78;78311;Houilles;0;0;0;0;0;0;0,782;1,06;6,27;0;
78;78335;Limay;15799;9,65;10,82;44,64;15,99;6,99;;;;;
78;78358;Maisons-Laffitte;22258;14,56;12,74;124,73;15,77;;;;;;
78;78358;Maisons-Laffitte;0;0;0;0;0;0;0,878;0,768;7,52;1,47;4,63
78;78361;Mantes-la-Jolie;44031;17,92;18,14;40,44;20,05;;;;;18,18;4,04
78;78362;Mantes-la-Ville;19363;19,24;20,28;56,08;18,3;;;;;18,18;4,04
78;78372;Marly-le-Roi;16931;12,7;14,14;82,62;17,73;5,33;;;;;
78;78372;Marly-le-Roi;0;0;0;0;0;0;0,478;0,532;3,11;1,03;
78;78383;Maurepas;19829;12,25;18,6;84,27;18,5;7,77;;;;;
78;78418;Montesson;13886;13,36;8,6;51,33;12,42;;;;;13,75;5,58
78;78418;Montesson;0;0;0;0;0;0;1,35;0,866;5,17;0;
78;78423;Montigny-le-Bretonneux;35824;11,53;19,11;89,53;;4,87;;;;18,4;
78;78440;Les Mureaux;32100;17,21;21,27;49,1;15,87;3,39;;;;;
78;78481;Le Pecq;16509;9,94;8,14;31,22;9,88;4,89;;;;;
78;78481;Le Pecq;0;0;0;0;0;0;1,22;0,997;3,82;2,3;
78;78490;Plaisir;31342;13,31;16,64;65,41;15,52;6,22;;;;;
78;78490;Plaisir;0;0;0;0;0;0;0,55;0,687;2,7;1,09;
78;78498;Poissy;37206;14,86;15,24;35,15;10,81;4,99;;;;;
78;78498;Poissy;0;0;0;0;0;0;0,216;0,221;0,51;0,178;
78;78517;Rambouillet;25424;14,34;19,2;92,35;14,9;;;;;14,34;12,25
78;78517;Rambouillet;0;0;0;0;0;0;0,104;0,139;0,668;0;
78;78545;Saint-Cyr-l'Ecole;15429;16,87;16,13;42,06;15,96;;0,228;0,273;0,659;0,2;6,01
78;78545;Saint-Cyr-l'Ecole;0;0;0;0;0;0;0,112;0,108;0,281;0,17;
78;78551;Saint-Germain-en-Laye;40162;11,68;9,54;37,44;10,35;4,22;;;;;
78;78551;Saint-Germain-en-Laye;0;0;0;0;0;0;1,07;0,873;3,43;1,44;
78;78586;Sartrouville;50560;12,38;10,66;45,35;15,05;;;;;13,75;6,43
78;78586;Sartrouville;0;0;0;0;0;0;0,372;0,32;1,36;0;
78;78621;Trappes;29129;12,86;22,82;116,16;;10,83;;;;18,4;
78;78621;Trappes;0;0;0;0;0;0;0,0388;0,0693;0,351;0;
78;78624;Triel-sur-Seine;11189;14,99;16,7;99,38;14,48;;;;;13,66;7,26
78;78624;Triel-sur-Seine;0;0;0;0;0;0;0,114;0,127;0,758;0;
78;78640;Vélizy-Villacoublay;21076;9,44;11,25;22,54;7,31;3,03;;;;;
78;78642;Verneuil-sur-Seine;14786;18,98;19,44;112,06;13,65;;;;;13,66;7,98
78;78642;Verneuil-sur-Seine;0;0;0;0;0;0;0,251;0,257;1,48;0;
78;78646;Versailles;88476;10,85;13,3;12,96;11,38;;0,228;0,273;0,659;0,2;4,75
78;78646;Versailles;0;0;0;0;0;0;0,0206;0,0252;0,0245;0,0351;
78;78650;Le Vésinet;16223;8,8;8,9;27,24;13,77;;;;;13,75;4,81
78;78650;Le Vésinet;0;0;0;0;0;0;0,427;0,432;1,32;0;
78;78686;Viroflay;15365;13,72;18,82;20,95;13,69;;0,228;0,273;0,659;0,2;5,11
78;78688;Voisins-le-Bretonneux;12727;13,76;19,87;95,51;;6,11;;;;18,4;
79;79049;Bressuire;19356;15,18;25,39;54,81;17,13;;;;;16,37;9,01
79;79191;Niort;59346;20,34;28,05;72,66;16,99;;;;;16,38;9,55
79;79202;Parthenay;11168;17,7;29,45;75,17;18,11;;;;;17,24;8,73
79;79329;Thouars;11158;22,23;35,83;89,7;18,15;;;;;16,78;10,56
80;80001;Abbeville;25439;16,61;34,32;53,68;15,88;;1,6;3,3;4,1;1,87;13,21
80;80016;Albert;10380;14,06;18,18;35,42;12,42;;;;;10,29;13,4
80;80021;Amiens;139210;17,97;27,76;15,52;;;0;0;0;15,27;9,35
81;81004;Albi;49106;14,45;27,17;92,16;22,41;;;;;22,3;10,63
81;81060;Carmaux;10417;13,9;30,36;98,86;21,21;;;;;20,25;12,59
81;81065;Castres;45413;17,92;34,87;91,18;20,03;;;;;19,32;10,44
81;81099;Gaillac;12737;12,11;26,46;106,58;19,34;;;;;18,65;
81;81099;Gaillac;0;0;0;0;0;0;;;;;8,6
81;81105;Graulhet;12982;12,87;33,46;137,9;19,81;;;;;18,65;
81;81105;Graulhet;0;0;0;0;0;0;;;;;12,46
81;81163;Mazamet;11259;12,8;27,13;79;18,7;;;;;19,32;8,37
82;82033;Castelsarrasin;12221;9,38;26,39;102,37;16,35;;0,45;1,17;6,1;0,85;8,32
82;82112;Moissac;12744;9,2;27,48;159,48;19,61;;0,45;1,17;6,1;0,85;8,32
82;82121;Montauban;54421;13,47;29,68;100,62;;;0,2;0,45;1,61;18,02;9,65
83;83023;Brignoles;15643;12,68;22,28;73,13;24,03;;;;;23,91;
83;83023;Brignoles;0;0;0;0;0;0;;;;;13,7
83;83047;La Crau;14844;15,47;20,47;64,74;;;;;;23,38;10,5
83;83050;Draguignan;34814;18,34;21,24;76,02;18,9;;;;;18,47;12
83;83061;Fréjus;47897;12,8;16,25;30;;;;;;13,1;11,5
83;83062;La Garde;25637;17,13;31,3;75,25;27,49;7,5;0,248;0,343;0,838;25,77;
83;83062;La Garde;0;0;0;0;0;0;1,63;2,98;7,16;0;
83;83069;Hyères;53258;14,65;19,41;68,58;23,86;8,73;0,248;0,343;0,838;25,77;
83;83069;Hyères;0;0;0;0;0;0;1,58;2,09;7,4;0;
83;83090;Ollioules;12336;9,4;17,6;43;21,93;9,45;0,248;0,343;0,838;25,77;
83;83098;Le Pradet;11160;17,86;28,04;87,21;27,04;9,49;0,248;0,343;0,838;25,77;
83;83098;Le Pradet;0;0;0;0;0;0;1,53;2,4;7,48;0;
83;83107;Roquebrune-sur-Argens;11540;12,02;18,33;46,49;13,99;13,07;;;;;
83;83112;Saint-Cyr-sur-Mer;11255;12,01;19,57;59,51;15,94;;;;;14,14;7,28
83;83115;Sainte-Maxime;12499;13,36;21,36;48,88;13,07;;;;;;
83;83115;Sainte-Maxime;0;0;0;0;0;0;;;;;6,38
83;83116;Saint-Maximin-la-Sainte-Baume;14430;14,85;23,17;94,96;21,66;;3,01;5,08;19,23;21,19;
83;83118;Saint-Raphaël;33170;9,97;14,3;28,84;;;;;;13,1;9,37
83;83123;Sanary-sur-Mer;17177;8,97;15,87;47,34;19,61;11,37;;;;;
83;83126;La Seyne-sur-Mer;60968;23,27;31,07;70;26,04;12,97;0,248;0,343;0,838;25,77;
83;83129;Six-Fours-les-Plages;33232;13,13;20,74;42,04;22,19;6,95;0,248;0,343;0,838;25,77;
83;83130;Solliès-Pont;10919;19,03;30,01;90,5;;;;;;23,38;10,5
83;83137;Toulon;166442;19,35;23,9;29,97;26,93;11,55;0,248;0,343;0,838;25,77;
83;83137;Toulon;0;0;0;0;0;0;2,19;2,71;3,39;0;
83;83144;La Valette-du-Var;21990;13,86;23,74;61,54;27,05;9;0,248;0,343;0,838;25,77;
83;83144;La Valette-du-Var;0;0;0;0;0;0;1,58;2,7;7,01;0;
84;84003;Apt;11488;17,14;20,16;34,43;24,33;;;;;23,97;14,87
84;84007;Avignon;88312;19,24;25,64;55,18;;;;;;24,3;12,63
84;84019;Bollène;14288;9,9;15,18;50,87;23,26;5,69;;;;22,61;
84;84031;Carpentras;27249;17,58;26,04;66,81;23,74;;;;;22,92;9,26
84;84035;Cavaillon;25058;17,95;18,56;46,6;;;;;;20,97;9,66
84;84054;L'Isle-sur-la-Sorgue;19015;14,39;21,38;38,5;19,24;;;;;18,59;12,82
84;84080;Monteux;10632;11,2;15,89;40,3;;;;;;19,02;11,88
84;84087;Orange;28889;16,96;24,08;54,78;20,56;7,4;;;;;
84;84088;Pernes-les-Fontaines;10309;15,75;20;48;;;;;;19,02;12,22
84;84089;Pertuis;18078;18,41;27,52;68,43;;;;;;19;8,88
84;84092;Le Pontet;15877;18,78;33,82;98,35;;;;;;24,3;10
84;84129;Sorgues;17681;16,57;23,83;50,61;20,94;;;;;21,05;10,56
85;85047;Challans;16781;16,64;12,44;59,52;16,04;;;;;15,2;8,8
85;85060;Château-d'Olonne;13263;13,73;17,26;37,05;;;;;;16,03;10,55
85;85092;Fontenay-le-Comte;15419;14,51;22,14;53,74;14,62;;;;;14,32;14,02
85;85109;Les Herbiers;14608;15,72;12,62;55,56;14,12;;2,09;2,3;3,78;2,12;12,25
85;85166;Olonne-sur-Mer;12850;13,24;15,35;49,34;;;;;;16,03;10,55
85;85191;La Roche-sur-Yon;52947;22,22;23,86;52,01;19,95;;1,98;2,16;3,56;1,83;11,44
85;85194;Les Sables-d'Olonne;16035;14,19;19,53;24,52;;;;;;16,03;10,55
86;86041;Buxerolles;10036;13,6;17,86;44,06;16,9;;;;;17,84;5,29
86;86066;Châtellerault;35795;20,48;27,35;69,34;;;;;;19,24;12
86;86194;Poitiers;87012;26,66;30,28;45,36;18,65;;;;;17,84;6,12
87;87085;Limoges;137528;17,92;17,21;55,4;;;;;;15,93;7,22
87;87154;Saint-Junien;11080;9,72;22,71;72,72;;;;;;15,65;
88;88160;Epinal;38207;20,94;27,16;41,12;16,84;;0,11;0,128;0,217;12,54;
88;88160;Epinal;0;0;0;0;0;0;;;;;9,7
88;88413;Saint-Dié-des-Vosges;23699;18,03;25;40,85;19,99;11,83;;;;;
89;89024;Auxerre;40292;17,71;20,72;62,5;16,08;;0,422;0,529;1,17;0,406;9,43
89;89206;Joigny;10737;11,64;17,44;51,57;11,78;;;;;11,67;9,52
89;89387;Sens;27952;15,21;25,18;46,22;16,57;;2,76;4,78;11,36;2,95;9,95
90;90010;Belfort;52521;16,8;19;82,83;19,97;;0;0;0;17,88;8,76
91;91027;Athis-Mons;30010;18,64;19,74;54,5;15,91;;;;;15,14;9,36
91;91027;Athis-Mons;0;0;0;0;0;0;0,221;0,234;0,647;0;
91;91103;Brétigny-sur-Orge;22114;16,45;18,4;87,77;;;;;;19,78;7,59
91;91114;Brunoy;23937;14,91;16,43;31,69;14,89;;0,488;0,583;1,68;15,66;7,95
91;91114;Brunoy;0;0;0;0;0;0;0,552;0,608;1,17;0;
91;91161;Chilly-Mazarin;17868;13,69;12,12;21,51;15,28;6,12;;;;15,15;
91;91174;Corbeil-Essonnes;39951;17,6;21,53;112,63;;;;;;15,8;7,39
91;91174;Corbeil-Essonnes;0;0;0;0;0;0;1,03;1,26;6,6;0;
91;91182;Courcouronnes;14071;23,36;26,76;144,95;;7,95;;;;16,22;
91;91201;Draveil;28384;14,85;15,3;37,41;;9,06;;;;14,86;
91;91201;Draveil;0;0;0;0;0;0;0,683;0,704;1,72;0;
91;91215;Epinay-sous-Sénart;12873;13,75;17,89;64,62;19,25;;0,488;0,583;1,68;15,66;13,11
91;91215;Epinay-sous-Sénart;0;0;0;0;0;0;0,817;1,06;3,84;0;
91;91223;Etampes;22114;18,75;25,08;70;24,07;;;;;20,65;12,2
91;91228;Evry;50202;17,62;18,19;144,95;;7,31;;;;16,22;
91;91272;Gif-sur-Yvette;21715;14,31;16,58;51,27;;;;;;15,69;8,69
91;91272;Gif-sur-Yvette;0;0;0;0;0;0;0,982;1,14;3,52;0;
91;91286;Grigny;24620;16,39;15,63;90,08;;;;;;22,95;7,65
91;91326;Juvisy-sur-Orge;12003;13,5;26,63;130,07;16,72;;;;;15,14;6,54
91;91326;Juvisy-sur-Orge;0;0;0;0;0;0;0,15;0,296;1,45;0;
91;91345;Longjumeau;20158;20,61;18,11;74,92;17,1;;;;;15,15;
91;91345;Longjumeau;0;0;0;0;0;0;;;;;9,46
91;91377;Massy;38209;14,36;13,86;97,39;15,59;;;;;15,15;
91;91386;Mennecy;12962;15,04;15,16;99,07;15,51;;;;;12,4;7,86
91;91386;Mennecy;0;0;0;0;0;0;0,517;0,521;3,4;0;
91;91421;Montgeron;22102;18,34;21,1;84,15;;8,52;;;;14,86;
91;91421;Montgeron;0;0;0;0;0;0;0,55;0,633;2,53;0;
91;91432;Morangis;10698;12,24;10,02;28,31;12,65;5,3;;;;15,15;
91;91432;Morangis;0;0;0;0;0;0;0,114;0,0934;0,265;0;
91;91434;Morsang-sur-Orge;19468;17,98;19,83;82,89;20,01;;;;;19,78;8,37
91;91471;Orsay;16397;15,2;21,64;79,15;;;;;;15,69;8,82
91;91471;Orsay;0;0;0;0;0;0;1,56;2,23;8,15;0;
91;91477;Palaiseau;30158;21,48;17,72;62,44;;;;;;15,69;8,6
91;91521;Ris-Orangis;24612;17,31;21,47;106,32;;6,44;;;;16,22;
91;91549;Sainte-Geneviève-des-Bois;32324;15,93;13,84;45,52;19,53;;;;;19,78;8,03
91;91570;Saint-Michel-sur-Orge;20543;17,4;17,8;81,09;18,82;;;;;19,78;7,45
91;91589;Savigny-sur-Orge;36612;16,92;14,92;50;20,97;7,59;;;;;
91;91589;Savigny-sur-Orge;0;0;0;0;0;0;0,245;0,216;0,724;0,533;
91;91645;Verrières-le-Buisson;16156;15,42;18,25;50,73;13,46;;;;;11,97;8,39
91;91645;Verrières-le-Buisson;0;0;0;0;0;0;0,5;0,592;1,64;0;
91;91657;Vigneux-sur-Seine;25776;20,49;17,96;140,8;;11,37;;;;14,86;
91;91657;Vigneux-sur-Seine;0;0;0;0;0;0;0,956;0,838;6,57;0;
91;91687;Viry-Châtillon;30529;21,58;21,58;37,25;;;;;;22,95;7,65
91;91691;Yerres;27744;19,55;25,59;57,58;16,78;;0,488;0,583;1,68;15,66;8,91
91;91691;Yerres;0;0;0;0;0;0;0,651;0,852;1,92;0;
91;91692;Les Ulis;25947;12,39;16,81;66,64;12,98;;;;;;
91;91692;Les Ulis;0;0;0;0;0;0;;;;;7,22
92;92002;Antony;60420;11,07;16,91;16,33;12,67;;;;;11,97;4,66
92;92004;Asnières-sur-Seine;76314;12,27;10,11;13,39;17,93;7,45;;;;;
92;92007;Bagneux;37433;15,24;21,68;25,63;14,66;;;;;12,98;5,6
92;92009;Bois-Colombes;24048;18,12;16,28;24,18;18,38;6,08;;;;;
92;92012;Boulogne-Billancourt;107042;9,74;6,75;8,47;;;;;;9,16;4,64
92;92014;Bourg-la-Reine;18497;13,69;13,69;11,93;14,65;;;;;11,97;4,93
92;92019;Châtenay-Malabry;30919;14,5;17,02;57,25;14,93;;;;;11,97;5,97
92;92020;Châtillon;28788;14,65;15,73;25,19;14,58;4,92;0,741;0,664;0,855;0,956;
92;92022;Chaville;18136;15,02;18;24,65;12,99;;;;;12,71;4,26
92;92023;Clamart;49131;14,27;14,78;15,28;12,02;;;;;12,98;5,6
92;92024;Clichy;50420;16,7;20,67;16,01;20,79;5,05;;;;;
92;92025;Colombes;77184;17,13;21,38;22,55;18,67;6,47;;;;;
92;92026;Courbevoie;81121;5,84;4,18;7,37;7,27;1,47;;;;;
92;92032;Fontenay-aux-Roses;23849;12,08;13,48;15,35;12,89;;;;;12,98;5,6
92;92033;Garches;18320;11,65;13,64;30,4;12,48;;;;;7,87;4,03
92;92035;La Garenne-Colombes;24181;9,98;11,02;16,42;12,14;7,26;;;;;
92;92036;Gennevilliers;42733;12,75;20,82;25,1;21,69;6,89;;;;;
92;92040;Issy-les-Moulineaux;60927;9,99;11,09;9,11;12,67;;;;;12,71;3,15
92;92044;Levallois-Perret;54994;11,32;11,65;30,89;17,69;2,98;;;;;
92;92046;Malakoff;29644;12,02;14,49;10,79;12,83;;;;;12,98;5,6
92;92048;Meudon;44372;14,03;10,41;14,21;12,68;;;;;12,71;5,12
92;92049;Montrouge;42002;10,23;7,8;6,87;10,03;2,96;0,741;0,664;0,855;0,956;
92;92049;Montrouge;0;0;0;0;0;0;0,00724;0,00552;0,00477;0,0127;
92;92050;Nanterre;86219;6,9;11,24;20,5;18,38;3,69;;;;;
92;92051;Neuilly-sur-Seine;60364;4,96;2,42;3,27;4,99;1,79;;;;;
92;92060;Le Plessis-Robinson;21759;13,07;19;100,53;11,8;;;;;11,97;4,34
92;92062;Puteaux;40950;6,91;7,93;11,51;9,71;1,75;;;;;
92;92063;Rueil-Malmaison;74671;14,63;9,89;21,49;11,79;3,56;;;;;
92;92063;Rueil-Malmaison;0;0;0;0;0;0;0,104;0,0703;0,153;0,169;
92;92064;Saint-Cloud;28395;10,24;9,84;12,04;7,17;;;;;7,87;2,8
92;92071;Sceaux;19850;12,77;19,25;19,45;13,49;;;;;11,97;5,37
92;92071;Sceaux;0;0;0;0;0;0;0,0393;0,0593;0,0605;0;
92;92072;Sèvres;22754;11,78;13,99;88,25;;;;;;9,16;4,64
