Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
68;68066;Colmar;67 163;17,78;18,07;53,8;-13,11;-;-;-;-;11,95;8,99
68;68112;Guebwiller;11 883;8,57;10,73;47,14;10,73;-;1,09;1,33;6,91;1,59;13,69
68;68112;Guebwiller;;-;-;-;-;-;0,65;0,81;3,57;1,21;-
68;68154;Illzach;15 449;12,33;12,64;45,12;16,79;6,79;-;-;-;-;-
68;68166;Kingersheim;12 098;10,81;15,32;53,98;-18,37;-;0,77;1,02;3,14;17,98;10,32
68;68224;Mulhouse;112 002;18,5;23,46;95,82;-18,28;-;0,77;1,02;3,14;17,98;13,37
68;68271;Riedisheim;12 369;14,1;16,74;49,04;-11,78;-;-;-;-;11,91;8,44
68;68278;Rixheim;12 803;14,61;15,5;61,94;-;-;-;-;-;8,74;7,06
68;68297;Saint-Louis;20 321;15,08;15,85;112,9;14,05;-;3,43;3,34;9,12;3;8,8
68;68375;Wittelsheim;10 297;11,33;18,79;74,85;11,95;-;-;-;-;-;-
68;68376;Wittenheim;15 159;9,79;17,89;47,66;-15,02;-;0,77;1,02;3,14;17,98;13,05
69;69027;Brignais;11 294;9,91;15,49;45,5;-15,12;-;-;-;-;14,82;6,53
69;69027;Brignais;;-;-;-;-;-;0,1;0,15;0,45;0;-
69;69029;Bron;38 058;19,17;18,12;28,94;-21,29;-;-;-;-;20,01;5,37
69;69029;Bron;;-;-;-;-;-;0,42;0,4;0,63;0;-
69;69034;Caluire-et-Cuire;41 667;17,95;18,3;33,41;-19,75;-;-;-;-;20,01;6,19
69;69034;Caluire-et-Cuire;;-;-;-;-;-;0,09;0,09;0,16;0;-
69;69081;Ecully;18 774;14,52;14,47;21,55;-18,48;-;-;-;-;20,01;5,68
69;69081;Ecully;;-;-;-;-;-;0,11;0,11;0,16;0;-
69;69089;Francheville;11 431;16,39;18,99;66,44;-20,86;-;-;-;-;20,01;5,27
69;69089;Francheville;;-;-;-;-;-;1,21;1,4;4,9;0;-
69;69091;Givors;18 562;13,52;21,16;49,32;17,36;-;7,58;11,29;26,04;9,02;-
69;69091;Givors;;-;-;-;-;-;0,14;0,22;0,52;0,36;-
69;69123;Lyon;453 187;20,19;16,11;18,2;-19,94;-;-;-;-;20,01;7,13
69;69123;Lyon;;-;-;-;-;-;0,08;0,06;0,07;0;-
69;69149;Oullins;25 478;24,17;22,47;31,79;-19,1;-;-;-;-;20,01;5,05
69;69149;Oullins;;-;-;-;-;-;0,97;0,91;1,28;0;-
69;69152;Pierre-Bénite;10 015;14,81;14,88;45,46;-20,75;-;-;-;-;20,01;5,05
69;69152;Pierre-Bénite;;-;-;-;-;-;0,24;0,24;0,75;0;-
69;69199;Saint-Fons;15 730;19,23;24,2;83,7;-20,43;-;-;-;-;20,01;5,05
69;69199;Saint-Fons;;-;-;-;-;-;1,39;1,75;6,05;0;-
69;69202;Sainte-Foy-lès-Lyon;21 449;19,92;18,49;32,48;-20,34;-;-;-;-;20,01;5,05
69;69202;Sainte-Foy-lès-Lyon;;-;-;-;-;-;0,58;0,54;0,95;0;-
69;69204;Saint-Genis-Laval;19 790;16,71;19,39;46,37;-19,19;-;-;-;-;20,01;5,05
69;69204;Saint-Genis-Laval;;-;-;-;-;-;0,03;0,04;0,08;0;-
69;69243;Tarare;10 638;14,44;20,39;55,38;16,06;-;3,38;4,71;9,87;4;7,7
69;69244;Tassin-la-Demi-Lune;18 341;15,66;14,4;29,3;-19,26;-;-;-;-;20,01;6,6
69;69244;Tassin-la-Demi-Lune;;-;-;-;-;-;1,26;1,16;2,36;0;-
69;69256;Vaulx-en-Velin;39 466;21,6;25,44;73,35;-21,66;-;-;-;-;20,01;6,55
69;69256;Vaulx-en-Velin;;-;-;-;-;-;0,85;1;2,84;0;-
69;69259;Vénissieux;56 487;20,45;21,89;36,64;-20,55;-;-;-;-;20,01;6,55
69;69259;Vénissieux;;-;-;-;-;-;1,43;1,56;2,56;0;-
69;69264;Villefranche-sur-Saône;33 422;16,72;19,03;27,84;-17,67;-;-;-;-;13,5;6,34
69;69266;Villeurbanne;127 299;20,98;15,66;19,14;-19,27;-;-;-;-;20,01;-
69;69266;Villeurbanne;;-;-;-;-;-;0,17;0,13;0,15;0;7,13
69;69275;Décines-Charpieu;24 324;17,06;18,78;99,18;-20,74;-;-;-;-;20,01;5,61
69;69275;Décines-Charpieu;;-;-;-;-;-;0,39;0,43;2,26;0;-
69;69277;Genas;11 214;7,09;20,08;45,57;-17,62;-;-;-;-;17,23;-
69;69277;Genas;;-;-;-;-;-;1,96;5,54;12,6;0;-
69;69282;Meyzieu;28 238;18,28;17,06;78,25;-20,45;-;-;-;-;20,01;5,05
69;69282;Meyzieu;;-;-;-;-;-;0,29;0,27;1,25;0;-
69;69283;Mions;11 429;14,55;18,08;52,76;-22,96;-;-;-;-;20,01;5,05
69;69283;Mions;;-;-;-;-;-;0,93;1,16;3,38;0;-
69;69286;Rillieux-la-Pape;28 740;19,1;16,7;47,1;-20,93;-;-;-;-;20,01;5,83
69;69286;Rillieux-la-Pape;;-;-;-;-;-;0,25;0,22;0,62;0;-
69;69290;Saint-Priest;41 213;17,31;18,95;72,03;-20,61;-;-;-;-;20,01;6,55
70;70285;Héricourt;10 433;12,77;27,54;63,4;-13,56;-;-;-;-;12,94;-
70;70550;Vesoul;18 882;9,72;23,78;39,95;-11,08;-;-;-;-;9,8;10,37
71;71014;Autun;18 085;16,99;27,01;55,64;-16,61;-;0,4;0,67;0,98;16,26;7,62
71;71076;Chalon-sur-Saône;52 260;17,98;24,37;68,43;-15,03;-;-;-;-;14,2;8,79
71;71153;Le Creusot;26 758;18,13;28,18;67,34;-14,51;-;-;-;-;15,32;10,41
71;71270;Mâcon;36 068;14,9;22,83;29,53;-17,11;-;-;-;-;16,01;6,88
71;71306;Montceau-les-Mines;21 200;19,46;31,01;68,48;-16,62;-;-;-;-;15,32;10,41
72;72003;Allonnes;12 440;14,27;14,21;45,58;16,41;-;4,54;11,22;17,68;6,9;6,03
72;72154;La Flèche;16 900;14,89;28,23;40,93;-16,15;-;-;-;-;15,99;12,42
72;72181;Le Mans;150 605;9,6;11,64;17,91;9,05;-;9,47;11,22;17,68;6,9;6,39
72;72264;Sablé-sur-Sarthe;13 560;10,57;15,32;31,07;14,54;-;2,03;3,21;5,65;2,81;8,12
73;73008;Aix-les-Bains;26 110;13,87;25,04;42,23;-20,13;-;-;-;-;18,94;8,24
73;73011;Albertville;18 190;15,37;22,99;90,51;-20,22;-;-;-;-;16,89;12,05
73;73065;Chambéry;57 592;18,72;25,95;44,19;-19,48;-;-;-;-;19,09;8,66
73;73179;La Motte-Servolex;11 551;10,95;19,02;69,7;-18,74;-;-;-;-;19,09;6,62
74;74010;Annecy;52 100;15,72;16,75;19,55;-20,13;-;-;-;-;19,17;7,3
74;74011;Annecy-le-Vieux;19 596;8,94;15,03;31,27;-18,56;-;-;-;-;19,17;7,3
74;74012;Annemasse;29 082;9,12;9,97;20,67;11,04;-;3,75;4,11;12,24;4,6;9,93
74;74012;Annemasse;;-;-;-;-;-;0,34;0,37;0,77;0,65;-
74;74042;Bonneville;11 338;17,01;14,22;65,2;-15,45;-;-;-;-;12,83;10,27
74;74056;Chamonix-Mont-Blanc;10 109;13,54;14,22;26,62;21,57;8,75;0,5;0,52;0,98;0,98;-
74;74081;Cluses;18 126;10,22;11,84;22,62;11,05;8,54;2,21;2,55;4,88;3,31;-
74;74093;Cran-Gevrier;17 540;15,8;16,53;29,56;-20,28;-;-;-;-;19,17;7,3
74;74133;Gaillard;10 013;5,88;6,72;14,07;8,68;-;3,75;4,11;12,24;4,6;9,93
74;74133;Gaillard;;-;-;-;-;-;0,3;0,34;0,71;0,67;-
74;74208;Passy;10 478;13,46;17,87;54,62;19,99;10,1;-;-;-;-;-
74;74224;La Roche-sur-Foron;10 246;9,47;12,7;36,7;13,4;-;2,64;3,44;14,12;4,02;-
74;74225;Rumilly;11 617;13,21;12,29;39,69;14,88;-;1,2;1,17;4,07;1,58;10,27
74;74243;Saint-Julien-en-Genevois;10 307;7,46;10,12;33,54;11,34;-;1,49;1,93;7,53;2,42;8,6
74;74256;Sallanches;14 853;12,46;12,89;53,66;14,35;9,08;0,7;0,73;3,03;1,16;-
74;74268;Seynod;18 890;11,45;12,53;38,91;-19,22;-;-;-;-;19,17;7,3
74;74281;Thonon-les-Bains;29 952;12,47;18,59;53,67;17,34;7,86;0,66;0,99;2,84;1,34;-
75;75056;Paris;2 147 857;8,8;7,11;13,5;12,35;5,75;-;-;-;-;-
76;76057;Barentin;13 125;13,81;22,75;39,09;12,59;0;0,88;1,56;3,45;1;-
76;76057;Barentin;;-;-;-;-;-;2,62;4,32;7,43;3,61;-
76;76108;Bois-Guillaume;12 174;8,56;19,62;38,71;-;-;-;-;-;16,02;6,68
76;76114;Bolbec;12 801;12,06;23,2;42,82;17,19;-;2,56;5,27;8,25;3,69;13,5
76;76114;Bolbec;;-;-;-;-;-;0;0;0;0;-
76;76157;Canteleu;15 838;17,47;30,87;69,46;-;-;-;-;-;16,02;5,72
76;76165;Caudebec-lès-Elbeuf;10 001;18,47;35,56;74,04;-14,42;-;-;-;-;13,98;-
76;76216;Déville-lès-Rouen;10 512;16,83;31,24;62,67;-;-;-;-;-;16,02;4,5
76;76217;Dieppe;35 694;17,6;38,9;44,69;-16,02;6,73;-;-;-;12,46;-
76;76231;Elbeuf;16 944;21,69;27,51;74,04;-14,46;-;-;-;-;13,98;-
76;76259;Fécamp;21 479;21,59;39,78;42,86;-18,05;-;-;-;-;17,33;-
76;76305;Gonfreville-l'Orcher;10 004;10,16;16,56;27,79;-15,42;-;-;-;-;15,69;4,68
76;76322;Le Grand-Quevilly;26 893;14,69;23,29;45,42;-;-;-;-;-;16,02;6,5
76;76351;Le Havre;193 259;18,63;27,24;27,5;-16,14;-;-;-;-;15,69;14,62
76;76410;Maromme;12 510;17,78;32,93;81,86;-;-;-;-;-;16,02;9,5
76;76447;Montivilliers;16 805;13,52;30,63;59,52;-15,55;-;-;-;-;15,69;4,68
76;76451;Mont-Saint-Aignan;21 761;13,6;23,95;42,64;-;-;-;-;-;16,02;6,95
76;76484;Oissel;11 330;16,6;33,65;81,31;-;-;-;-;-;16,02;5,61
76;76498;Le Petit-Quevilly;22 601;18,42;35,63;68,56;-;-;-;-;-;16,02;8,58
76;76540;Rouen;108 758;19,99;21,01;25,08;-;-;-;-;-;16,02;7,2
76;76575;Saint-Etienne-du-Rouvray;29 561;21,09;26,11;44,43;-;-;-;-;-;16,02;10,02
76;76681;Sotteville-lès-Rouen;30 124;25,52;27,32;66,4;-;-;-;-;-;16,02;9,14
76;76758;Yvetot;11 038;12,83;20,66;61,08;12,22;-;3,64;6,22;9,27;2,94;-
76;76758;Yvetot;;-;-;-;-;-;0,19;0,31;0,93;0,28;-
77;77014;Avon;14 362;14,41;24,1;45,65;-;-;-;-;-;12,96;8,26
77;77053;Brie-Comte-Robert;13 828;12,36;17,33;55,48;13,05;-;1,35;1,86;6,76;1,3;7,36
77;77058;Bussy-Saint-Georges;16 537;17,47;31,06;99,15;20,58;-;-;-;-;-;7,18
77;77083;Champs-sur-Marne;25 488;17,95;27,17;92,75;-;-;-;-;-;20,04;-
77;77083;Champs-sur-Marne;;-;-;-;-;-;-;-;-;-;11,61
77;77108;Chelles;45 711;19,9;24,35;86,12;-16,99;-;-;-;-;18,56;-
77;77108;Chelles;;-;-;-;-;-;-;-;-;-;9,73
77;77118;Claye-Souilly;10 391;12,39;17,02;51,78;11,68;9;0,12;0,16;0,49;0,17;-
77;77122;Combs-la-Ville;22 118;14,82;24,63;66,28;-;-;-;-;-;18;-
77;77122;Combs-la-Ville;;-;-;-;-;-;-;-;-;-;10,6
77;77131;Coulommiers;14 191;19,13;21,49;48,66;12,78;-;1,37;1,86;3,55;1,08;18,4
77;77152;Dammarie-les-Lys;20 816;17,23;28,44;85,88;-17,06;-;-;-;-;15,21;11,05
77;77186;Fontainebleau;17 811;13,77;22,08;101,87;-;-;-;-;-;12,96;8,59
77;77243;Lagny-sur-Marne;19 579;15,62;20,79;45,91;-13,44;-;-;-;-;12,85;-
77;77243;Lagny-sur-Marne;;-;-;-;-;-;-;-;-;-;8,9
77;77251;Lieusaint;10 120;17,31;27,18;60,71;-;-;-;-;-;18;-
77;77251;Lieusaint;;-;-;-;-;-;-;-;-;-;6,15
77;77258;Lognes;15 204;17,1;32,75;90,01;-;-;-;-;-;20,04;-
77;77258;Lognes;;-;-;-;-;-;-;-;-;-;7,44
77;77284;Meaux;50 913;18;23,57;67,25;-16,56;-;-;-;-;14,69;12
77;77285;Le Mée-sur-Seine;21 325;16;26,62;100,4;-16,77;-;-;-;-;15,21;10,73
77;77288;Melun;36 998;19,86;24,15;39,72;-18,31;-;-;-;-;15,21;9,76
77;77294;Mitry-Mory;16 947;17,7;22,63;91,14;15,04;6,99;0,05;0,06;0,25;0,05;-
77;77296;Moissy-Cramayel;16 793;17,89;29,4;76,07;-;-;-;-;-;18;-
77;77296;Moissy-Cramayel;;-;-;-;-;-;-;-;-;-;11,08
77;77305;Montereau-Fault-Yonne;17 903;18,04;35,16;55,78;20,08;-;-;-;-;-;18,8
77;77333;Nemours;13 001;17,95;28,87;58,28;12,75;-;-;-;-;-;16,55
77;77337;Noisiel;15 595;17,12;33,23;97,13;-;-;-;-;-;20,04;-
77;77337;Noisiel;;-;-;-;-;-;-;-;-;-;11,14
77;77350;Ozoir-la-Ferrière;20 817;17;24,88;94,28;14,92;-;-;-;-;-;9,36
77;77373;Pontault-Combault;33 019;24,65;26,01;75,41;16,94;9,51;-;-;-;-;-
77;77379;Provins;12 091;17,62;24,74;50,88;-;-;-;-;-;14,2;11,08
77;77390;Roissy-en-Brie;19 762;17,52;26,36;60,67;15,42;-;2,05;3,08;7,09;2,72;10,28
77;77407;Saint-Fargeau-Ponthierry;11 356;17,86;22,38;79,16;17,08;12,62;2,83;3,63;12,18;2,78;-
77;77445;Savigny-le-Temple;26 202;22,94;42,46;101,48;-;-;-;-;-;18;-
77;77445;Savigny-le-Temple;;-;-;-;-;-;-;-;-;-;8,76
77;77468;Torcy;22 516;18,5;27,08;80,81;-;-;-;-;-;20,04;-
77;77468;Torcy;;-;-;-;-;-;-;-;-;-;10,69
77;77479;Vaires-sur-Marne;11 842;19,37;19,96;42,53;-26,84;-;-;-;-;18,56;-
77;77479;Vaires-sur-Marne;;-;-;-;-;-;-;-;-;-;9,24
77;77487;Vaux-le-Pénil;10 816;13,64;17,27;56,04;-15,72;-;-;-;-;15,21;9,24
77;77514;Villeparisis;21 493;15,39;25,12;68,07;15,88;15;0,04;0,07;0,18;0,07;-
78;78005;Achères;19 032;15,13;12,17;66,55;15,11;9,32;0,09;0,08;0,42;0,16;-
78;78015;Andrésy;12 621;13,45;17,41;71,16;-15,3;-;-;-;-;13,66;-
78;78015;Andrésy;;-;-;-;-;-;0,13;0,17;0,68;0;7,59
78;78029;Aubergenville;11 725;16,03;20,14;96,81;-13,19;-;-;-;-;11,71;9,11
78;78073;Bois-d'Arcy;12 130;16,03;13,64;54,62;19;7,82;-;-;-;-;-
78;78123;Carrières-sous-Poissy;13 545;14,64;20,77;62,38;-13,18;-;-;-;-;13,66;-
78;78123;Carrières-sous-Poissy;;-;-;-;-;-;0,08;0,11;0,32;0;8,88
78;78124;Carrières-sur-Seine;14 026;13,89;21,22;64,66;-19,74;-;-;-;-;13,75;-
78;78124;Carrières-sur-Seine;;-;-;-;-;-;0,74;1,13;3,43;0;7,03
78;78126;La Celle-Saint-Cloud;21 761;12,6;11,6;62,3;15,43;4,95;0,01;0,01;0,03;0,01;-
78;78126;La Celle-Saint-Cloud;;-;-;-;-;-;0,16;0,14;0,78;0,36;-
78;78146;Chatou;28 889;12,77;10,11;27,73;-10,18;-;-;-;-;13,75;-
78;78146;Chatou;;-;-;-;-;-;0,53;0,42;1,14;0;6,08
78;78158;Le Chesnay;28 942;10,62;7,29;10,18;7,04;4,41;0,05;0,03;0,05;0,06;-
78;78165;Les Clayes-sous-Bois;17 182;11,91;22,88;56,74;15,14;-;-;-;-;-;-
78;78172;Conflans-Sainte-Honorine;33 948;17,17;15;35,49;16,84;8,67;0,22;0,19;0,46;0,36;-
78;78208;Elancourt;27 557;13,01;17,85;96,38;-;5,92;-;-;-;18,4;-
78;78242;Fontenay-le-Fleury;12 676;14,61;15,99;51,68;15,5;-;0,23;0,27;0,66;0,2;5,38
78;78242;Fontenay-le-Fleury;;-;-;-;-;-;0,06;0,07;0,21;0,12;-
78;78297;Guyancourt;26 996;11,45;17,79;89,83;-;7;-;-;-;18,4;-
78;78297;Guyancourt;;-;-;-;-;-;0,03;0,05;0,24;0;-
78;78311;Houilles;30 163;14,3;19,34;114,61;-17,83;-;-;-;-;13,75;-
78;78311;Houilles;;-;-;-;-;-;0,78;1,05;6,24;0;8,27
78;78335;Limay;15 799;9,65;10,82;44,64;15,99;6,92;-;-;-;-;-
78;78358;Maisons-Laffitte;22 258;14,56;12,74;124,73;15,77;-;0,9;0,79;7,77;1,54;4,85
78;78361;Mantes-la-Jolie;44 031;18,57;18,79;41,9;-20,51;-;-;-;-;18,18;4,04
78;78362;Mantes-la-Ville;19 363;19,24;20,28;56,08;-18,32;-;-;-;-;18,18;4,04
78;78372;Marly-le-Roi;16 931;12,7;14,14;82,62;17,73;5,53;0,47;0,52;3,02;1;-
78;78383;Maurepas;19 829;12,25;18,6;84,27;18,5;7,77;-;-;-;-;-
78;78418;Montesson;13 886;13,36;8,6;51,33;-12,22;-;-;-;-;13,75;-
78;78418;Montesson;;-;-;-;-;-;1,39;0,9;5,35;0;5,97
78;78423;Montigny-le-Bretonneux;35 824;11,53;19,11;89,53;-;4,77;-;-;-;18,4;-
78;78440;Les Mureaux;32 100;17,21;21,27;49,1;15,87;3,39;-;-;-;-;-
78;78481;Le Pecq;16 509;9,94;8,14;31,22;9,88;4,75;1,13;0,93;3,56;2,16;-
78;78490;Plaisir;31 342;13,31;16,64;65,41;15,52;6,22;0,54;0,68;2,68;1,07;-
78;78498;Poissy;36 101;14,86;15,24;35,15;10,81;5,17;0,24;0,24;0,56;0,2;-
78;78517;Rambouillet;25 424;13,93;18,65;89,7;-15,03;-;-;-;-;14,34;-
78;78517;Rambouillet;;-;-;-;-;-;0,3;0,39;1,91;0;12,02
78;78545;Saint-Cyr-l'Ecole;15 429;16,87;16,13;42,06;15,96;-;0,23;0,27;0,66;0,2;6,05
78;78545;Saint-Cyr-l'Ecole;;-;-;-;-;-;0,12;0,12;0,3;0,19;-
78;78551;Saint-Germain-en-Laye;40 162;11,68;9,54;37,44;10,35;4,32;1,09;0,89;3,5;1,48;-
78;78586;Sartrouville;50 560;12,38;10,66;45,35;-15,5;-;-;-;-;13,75;-
78;78586;Sartrouville;;-;-;-;-;-;0,68;0,58;2,48;0;7,84
78;78621;Trappes;29 129;12,86;22,94;116,16;-;10,83;-;-;-;18,4;-
78;78621;Trappes;;-;-;-;-;-;0,04;0,07;0,36;0;-
78;78624;Triel-sur-Seine;11 189;14,92;16,62;98,91;-15,29;-;-;-;-;13,66;-
78;78624;Triel-sur-Seine;;-;-;-;-;-;0,15;0,17;0,99;0;7,19
78;78640;Vélizy-Villacoublay;21 076;9,34;11,13;22,3;7,19;2,75;-;-;-;-;-
78;78642;Verneuil-sur-Seine;14 786;18,98;19,44;112,06;-13,63;-;-;-;-;13,66;-
78;78642;Verneuil-sur-Seine;;-;-;-;-;-;0,26;0,26;1,52;0;7,77
78;78646;Versailles;88 476;10,72;13,14;12,81;11,18;-;0,23;0,27;0,66;0,2;-
78;78646;Versailles;;-;-;-;-;-;0,02;0,03;0,02;0,04;4,75
78;78650;Le Vésinet;16 223;8,8;8,9;27,24;-13,91;-;-;-;-;13,75;-
78;78650;Le Vésinet;;-;-;-;-;-;0,4;0,41;1,24;0;4,65
78;78686;Viroflay;15 365;13,58;18,63;20,74;13,55;-;0,23;0,27;0,66;0,2;5,11
78;78688;Voisins-le-Bretonneux;12 727;13,76;19,87;95,51;-;6,11;-;-;-;18,4;-
79;79049;Bressuire;19 356;15,18;25,39;54,81;-17,23;-;-;-;-;16,37;9,02
79;79191;Niort;59 346;20,34;28,05;72,66;-17,19;-;-;-;-;16,38;9,27
79;79202;Parthenay;11 168;17,7;29,45;75,17;-18,38;-;-;-;-;17,24;8,6
79;79329;Thouars;11 158;22,23;35,83;89,7;-18,32;-;-;-;-;16,78;10,02
80;80001;Abbeville;25 439;16,61;34,32;53,68;15,88;-;1,6;3,3;4,1;1,87;12,21
80;80016;Albert;10 380;14,06;18,18;35,42;-12,66;-;-;-;-;10,29;13,4
80;80021;Amiens;139 210;17,97;27,76;15,52;-15,32;-;12,7;20,08;23,98;15,27;9,17
81;81004;Albi;49 106;14,31;26,9;91,25;-22,5;-;-;-;-;22,3;10,63
81;81060;Carmaux;10 417;-;-;-;-;-;-;-;-;-;-
81;81065;Castres;45 413;17,92;34,87;91,18;-20,16;-;-;-;-;19,32;10,46
81;81099;Gaillac;12 737;12,11;26,46;106,58;-19,53;-;-;-;-;18,65;-
81;81099;Gaillac;;-;-;-;-;-;-;-;-;-;8,8
81;81105;Graulhet;12 982;12,49;32,48;133,88;-20,06;-;-;-;-;18,65;-
81;81105;Graulhet;;-;-;-;-;-;-;-;-;-;11,96
81;81163;Mazamet;11 259;12,8;27,13;79;-18,51;-;-;-;-;19,32;8,37
82;82033;Castelsarrasin;12 221;9,38;26,39;102,37;16,35;-;0,44;1,15;5,99;0,83;7,7
82;82112;Moissac;12 744;9,2;27,48;159,48;19,61;-;0,44;1,15;5,99;0,83;7,7
82;82121;Montauban;54 421;13,47;29,68;100,62;-;-;0,2;0,45;1,61;18,02;9,58
83;83023;Brignoles;15 643;12,68;22,28;73,13;-24,06;-;-;-;-;23,91;-
83;83023;Brignoles;;-;-;-;-;-;-;-;-;-;13,7
83;83047;La Crau;14 844;15,47;20,47;64,74;-;-;-;-;-;23,38;10,5
83;83050;Draguignan;34 814;18,34;21,24;76,02;-18,79;-;-;-;-;18,3;12
83;83061;Fréjus;47 897;12,8;16,25;30;-;-;-;-;-;12,86;12,5
83;83062;La Garde;25 637;17,15;31,34;75,34;-27,89;7;0,25;0,34;0,84;25,77;-
83;83062;La Garde;;-;-;-;-;-;1,66;3,03;7,29;0;-
83;83069;Hyères;53 258;14,45;19,14;67,63;-23,35;8,48;0,25;0,34;0,84;25,77;-
83;83069;Hyères;;-;-;-;-;-;1,6;2,12;7,5;0;-
83;83090;Ollioules;12 336;9,4;17,6;43;-20,94;9,45;0,25;0,34;0,84;25,77;-
83;83098;Le Pradet;11 160;17,86;28,04;87,21;-27,33;9,49;0,25;0,34;0,84;25,77;-
83;83098;Le Pradet;;-;-;-;-;-;1,54;2,4;7,59;0;-
83;83107;Roquebrune-sur-Argens;11 540;12,02;18,33;46,49;13,99;13,42;-;-;-;-;-
83;83112;Saint-Cyr-sur-Mer;11 255;12,01;19,57;59,51;-16,29;-;-;-;-;14,14;7,91
83;83115;Sainte-Maxime;12 499;13,36;21,36;48,88;13,07;-;-;-;-;-;6,38
83;83116;Saint-Maximin-la-Sainte-Baume;14 430;14,85;23,17;94,96;-21,77;-;3,01;5,08;19,23;21,19;-
83;83118;Saint-Raphaël;33 170;9,97;14,3;28,84;-;-;-;-;-;12,86;9,37
83;83123;Sanary-sur-Mer;17 177;8,75;15,48;46,18;19,13;9,99;-;-;-;-;-
83;83126;La Seyne-sur-Mer;60 968;23,74;31,07;71,43;-26,07;11,92;0,25;0,34;0,84;25,77;-
83;83129;Six-Fours-les-Plages;33 232;13,13;20,74;42,04;-21,26;6,26;0,25;0,34;0,84;25,77;-
83;83130;Solliès-Pont;10 919;19,03;30,01;90,5;-;-;-;-;-;23,38;10,5
83;83137;Toulon;166 442;19,35;23,9;29,97;-27,19;11,33;0,25;0,34;0,84;25,77;-
83;83137;Toulon;;-;-;-;-;-;2,21;2,73;3,43;0;-
83;83144;La Valette-du-Var;21 990;13,86;23,74;61,54;-27,34;8,66;0,25;0,34;0,84;25,77;-
83;83144;La Valette-du-Var;;-;-;-;-;-;1,64;2,69;7,26;0;-
84;84003;Apt;11 488;17,14;20,16;34,43;-24,37;-;-;-;-;23,97;13,8
84;84007;Avignon;88 312;19,24;25,64;55,18;-;-;-;-;-;24,3;12,63
84;84019;Bollène;14 288;9,9;15,18;50,87;-23,29;4,38;-;-;-;22,61;-
84;84031;Carpentras;27 249;17,58;26,04;66,81;-23,88;-;-;-;-;22,92;9,26
84;84035;Cavaillon;25 058;17,95;18,56;46,6;-;-;-;-;-;20,97;9,66
84;84054;L'Isle-sur-la-Sorgue;18 411;14,39;21,38;38,5;-19,71;-;-;-;-;18,59;12,82
84;84080;Monteux;10 632;11,2;15,89;40,3;-19,04;-;-;-;-;19,02;11,88
84;84087;Orange;28 889;17,31;24,57;55,9;20,77;7,4;-;-;-;-;-
84;84088;Pernes-les-Fontaines;10 309;15,75;20;48;-19,51;-;-;-;-;19,02;12,22
84;84089;Pertuis;18 078;18,41;27,52;68,43;-;-;-;-;-;19;8,88
84;84092;Le Pontet;15 877;18,78;33,82;98,35;-;-;-;-;-;24,3;10
84;84129;Sorgues;17 681;16,57;23,83;50,61;-20,9;-;-;-;-;21,05;10,56
85;85047;Challans;16 781;15,78;11,78;56,88;15,33;-;0,7;0,54;2,05;0,68;8,93
85;85060;Château-d'Olonne;13 263;13,59;17,09;36,68;-;-;-;-;-;15,84;10,55
85;85092;Fontenay-le-Comte;15 419;14,51;22,14;53,74;-14,68;-;-;-;-;14,32;14,02
85;85109;Les Herbiers;14 608;15,72;12,62;55,56;14,12;-;2,09;2,3;3,78;2,12;12,29
85;85166;Olonne-sur-Mer;12 850;13,11;15,2;48,86;-;-;-;-;-;15,84;10,55
85;85191;La Roche-sur-Yon;52 947;22,22;23,86;52,01;19,95;-;1,98;2,16;3,56;1,83;11
85;85194;Les Sables-d'Olonne;16 035;14,01;19,29;24,22;-;-;-;-;-;15,84;10,55
86;86041;Buxerolles;10 036;13,33;17,51;43,2;-16,4;-;-;-;-;17,84;5,16
86;86066;Châtellerault;35 795;20,28;27,08;68,65;-;-;-;-;-;19,24;12
86;86194;Poitiers;87 012;26,27;29,83;44,69;-19,02;-;-;-;-;17,84;5,97
87;87085;Limoges;137 528;17,92;17,21;55,4;-15,92;-;-;-;-;15,93;7,49
87;87154;Saint-Junien;11 080;9,72;22,71;72,72;-;-;-;-;-;15,65;-
88;88160;Epinal;38 207;20,94;27,16;41,12;-17,46;-;0,11;0,13;0,22;12,54;-
88;88160;Epinal;;-;-;-;-;-;-;-;-;-;9,7
88;88413;Saint-Dié-des-Vosges;23 699;18,03;25;40,85;19,99;11,83;-;-;-;-;-
89;89024;Auxerre;40 292;17,71;20,72;62,5;16,08;-;0,39;0,48;1,07;0,37;9,03
89;89206;Joigny;10 737;11,64;17,44;51,57;-11,79;-;-;-;-;11,67;8,9
89;89387;Sens;27 952;16,01;26,51;48,65;17,44;-;2,76;4,78;11,36;2,95;9,77
90;90010;Belfort;52 521;16,8;19;82,83;-20,57;-;-;-;-;17,88;8,76
91;91027;Athis-Mons;30 010;18,64;19,74;54,5;-15,93;-;-;-;-;14,35;9,36
91;91027;Athis-Mons;;-;-;-;-;-;0,22;0,24;0,65;0;-
91;91103;Brétigny-sur-Orge;22 114;16,45;18,4;87,77;-;-;-;-;-;19,54;7,09
91;91114;Brunoy;23 937;14,91;16,43;31,69;-14,83;-;0,49;0,58;1,68;15,66;7,68
