Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
13;13097;Saint-Martin-de-Crau;11 282;19,77;24,36;44,19;-22,02;7,5;-;-;-;24,22;-
13;13100;Saint-Rémy-de-Provence;10 007;16,2;16,33;44;-16,63;9,59;-;-;-;15,97;-
13;13103;Salon-de-Provence;38 137;29,13;36,73;66,96;-;-;-;-;-;19,24;10
13;13106;Septèmes-les-Vallons;10 232;14,34;27,89;48,94;-26,74;-;1,95;1,88;2,26;23,43;5,13
13;13108;Tarascon;12 991;12,13;19,66;58,16;-22,21;9,91;-;-;-;24,22;-
13;13117;Vitrolles;37 509;8,9;37,67;88,75;-;-;-;-;-;19;6,47
14;14047;Bayeux;15 403;10,31;19,03;36,11;14,93;-;5,99;10,68;12,64;5,81;-
14;14047;Bayeux;;-;-;-;-;-;-;-;-;-;12,56
14;14118;Caen;117 157;16,28;28,85;29,92;-17,17;-;-;-;-;16,06;9,02
14;14327;Hérouville-Saint-Clair;24 374;18,46;29,45;52,19;-17,25;-;-;-;-;16,06;9,02
14;14341;Ifs;10 906;10,41;26,37;40,63;-15,9;-;-;-;-;16,06;9,02
14;14366;Lisieux;24 080;13,96;28,96;35,44;-14,34;-;-;-;-;12,34;10,48
14;14437;Mondeville;10 678;5,55;16,59;16,68;-14,78;-;-;-;-;16,06;9,02
14;14762;Vire;13 861;13,77;22,19;30,09;12,3;-;2,16;3,91;4,4;1,8;7,4
15;15014;Aurillac;32 718;22,22;27,94;115,64;-17,01;-;-;-;-;16,48;7,74
16;16015;Angoulême;46 324;18,43;40,2;71,94;-19,88;-;-;-;-;16,51;9,98
16;16102;Cognac;20 126;8,14;19,1;58,75;-;11,1;-;-;-;12,14;-
16;16374;Soyaux;10 762;16,15;29,37;65,47;-18,37;-;-;-;-;16,51;9,98
17;17299;Rochefort;27 544;13,44;27,56;38,92;-;-;-;-;-;16,4;-
17;17300;La Rochelle;80 055;18,75;33,09;54,85;-;-;-;-;-;17,94;8,3
17;17306;Royan;17 932;10,13;27,91;79,33;-11,25;-;-;-;-;11,23;10,58
17;17415;Saintes;27 723;15,55;30,52;46,3;-16,53;-;-;-;-;16,35;-
18;18033;Bourges;76 075;16,15;22,26;33,32;-17,41;9,67;-;-;-;14,83;-
18;18197;Saint-Amand-Montrond;11 950;18,62;29,68;59,43;18,71;-;2,42;3,79;6,01;2,5;17,13
18;18279;Vierzon;30 743;20,48;22,83;49,17;-16,52;-;-;-;-;16,45;11,29
19;19031;Brive-la-Gaillarde;51 586;17,03;35,22;103,03;-19,92;-;-;-;-;18,76;10,01
19;19272;Tulle;16 906;12,34;34,44;98,57;-20,19;-;-;-;-;18,9;-
19;19272;Tulle;;-;-;-;-;-;-;-;-;-;5,31
19;19275;Ussel;11 316;8,35;18,8;93,93;-14,46;-;-;-;-;14,73;8,08
21;21054;Beaune;22 916;12,86;21,72;30,87;12,86;7,15;-;-;-;-;-
21;21166;Chenôve;16 454;12,59;24,44;101,42;-16,2;-;-;-;-;15,95;6,28
21;21171;Chevigny-Saint-Sauveur;10 389;11,1;20,45;78,54;-16,47;-;-;-;-;15,95;5,43
21;21231;Dijon;153 813;20,18;24,72;78,36;-16,3;-;-;-;-;15,95;6,58
21;21617;Talant;12 332;15,14;28,08;92,15;-17,27;-;-;-;-;15,95;4,15
22;22050;Dinan;11 836;19,89;19,31;40,76;-;-;-;-;-;14,72;10,56
22;22093;Lamballe;11 187;20,02;24,24;87,42;-16,99;-;0,77;0,86;3,36;15,87;-
22;22113;Lannion;19 351;18,5;18,67;59,09;-14,4;-;-;-;-;14,54;12,98
22;22136;Loudéac;10 134;16,3;16,88;58,26;-;-;-;-;-;13,07;-
22;22187;Plérin;12 988;18,63;23,52;98,52;-;-;0,4;0,43;1,67;17,7;5,28
22;22215;Ploufragan;11 041;22,5;23,24;87,72;-;-;0,4;0,43;1,67;17,7;5,28
22;22278;Saint-Brieuc;48 895;24,69;25,11;41,99;17,7;-;0,4;0,43;1,67;17,7;5,28
23;23096;Guéret;15 286;18,44;21,96;69,71;-;-;0;0;0;15,85;7,34
24;24037;Bergerac;27 201;12,74;31,62;123,4;-16,29;-;-;-;-;15,9;9,77
24;24322;Périgueux;32 294;13,89;42,42;100,49;-18,16;-;-;-;-;16,96;10,2
24;24520;Sarlat-la-Canéda;10 423;11,36;34,91;138,54;-;-;-;-;-;18,15;13,52
25;25031;Audincourt;15 793;15,96;20,66;17,02;-16,96;-;-;-;-;14,36;4,42
25;25056;Besançon;122 308;22,06;23,93;26,11;-17,2;-;-;-;-;15,47;-
25;25388;Montbéliard;28 766;14,9;22,22;29,78;-15,57;-;-;-;-;14,36;4,42
