;;;Taux votés par les communautés d'agglomérations en 2006;;;
;;;en pourcentage;;;
N° du département;N° siren;Nom du groupement;Taxe d'habitation;Foncier bâti;Foncier non bâti;Taxe professionnelle
95;249500109;CA de Cergy-Pontoise;;;;15,94
95;249500380;CA Val de France;;;;16,91
95;249500398;CA Val et Forêt;;;;16,41
95;249500414;CA de la Vallée de Montmorency;;;;18,97
972;249720053;CA de l’Espace Sud Martinique;1,02;2,16;1,48;11,82
972;249720061;CA du Centre de la Martinique;;;;13,99
974;249740077;CA CIVIS (Communauté Villes Solidaires);;;;20,91
974;249740093;CA Intercommunale de la Réunion Est (CIREST);;;;22,68
974;249740101;CA Territoire de la Côte Ouest (TCO);;;;17,38
974;249740119;CA Intercommunale du Nord de la Réunion (CINOR);;;;15,52
